EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	TRAIN_PRECISION	TRAIN_RECALL	TRAIN_ACCURACY	TRAIN_F-SCORE	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_ACCURACY	DEV_F-SCORE	TEST_LOSS	TEST_PRECISION	TEST_RECALL	TEST_ACCURACY	TEST_F-SCORE
31	07:49:11	0	0.1000	1.317334420578485		_	_	_	_	1.0391751527786255	0.8693	0.8752	0.7735	0.8722	_	0.8659	0.8744	0.7701	0.8701
32	08:56:02	0	0.1000	1.3024231716582393		_	_	_	_	1.0240113735198975	0.8721	0.8736	0.7744	0.8728	_	0.8676	0.8719	0.7695	0.8697
33	10:02:46	0	0.1000	1.3094212565237249		_	_	_	_	1.0438671112060547	0.8705	0.8804	0.7784	0.8754	_	0.8671	0.8784	0.7742	0.8727
34	11:10:28	1	0.1000	1.3006185073979983		_	_	_	_	1.0215439796447754	0.8767	0.8698	0.775	0.8732	_	0.8745	0.8685	0.7722	0.8715
35	12:18:32	0	0.1000	1.295129983021783		_	_	_	_	1.0305233001708984	0.8767	0.8727	0.7773	0.8747	_	0.8736	0.8707	0.7733	0.8721
36	13:26:26	0	0.1000	1.2785413630980347		_	_	_	_	1.014938235282898	0.881	0.8686	0.7774	0.8748	_	0.8775	0.8677	0.774	0.8726
37	14:34:23	0	0.1000	1.281746222225014		_	_	_	_	1.0123510360717773	0.876	0.8767	0.7799	0.8763	_	0.8707	0.8727	0.7725	0.8717
38	15:42:07	1	0.1000	1.2749578002048358		_	_	_	_	1.0027053356170654	0.8797	0.8709	0.7782	0.8753	_	0.8753	0.869	0.7733	0.8721
39	16:49:50	0	0.1000	1.2635318786616683		_	_	_	_	1.034228801727295	0.87	0.8818	0.7792	0.8759	_	0.8643	0.8777	0.7714	0.8709
40	17:57:14	0	0.1000	1.26057354784561		_	_	_	_	1.0094830989837646	0.8834	0.8688	0.7794	0.876	_	0.8786	0.8661	0.7735	0.8723
41	19:04:21	0	0.1000	1.2450004084493704		_	_	_	_	1.0264257192611694	0.872	0.8797	0.7791	0.8758	_	0.8671	0.8771	0.7732	0.8721
42	20:11:20	0	0.1000	1.241062260946986		_	_	_	_	1.0030781030654907	0.8821	0.8712	0.7803	0.8766	_	0.8783	0.8709	0.7772	0.8746
43	21:19:19	0	0.1000	1.2428027292576111		_	_	_	_	1.0044887065887451	0.8813	0.8703	0.779	0.8758	_	0.8776	0.8677	0.774	0.8726
44	22:26:41	1	0.1000	1.249748624997306		_	_	_	_	1.0204130411148071	0.8744	0.8808	0.7819	0.8776	_	0.8702	0.8766	0.7753	0.8734
45	23:33:46	2	0.1000	1.230828035566889		_	_	_	_	1.0172802209854126	0.8707	0.8808	0.7789	0.8757	_	0.8679	0.8802	0.7762	0.874
46	00:40:42	0	0.1000	1.2265239056847148		_	_	_	_	1.004608392715454	0.8799	0.8735	0.7804	0.8767	_	0.8778	0.8734	0.7787	0.8756
47	01:47:00	0	0.1000	1.2223124860765602		_	_	_	_	1.008750557899475	0.8799	0.874	0.7808	0.8769	_	0.8762	0.8724	0.7767	0.8743
48	02:52:57	0	0.1000	1.2144734831856119		_	_	_	_	1.0203287601470947	0.8708	0.8804	0.7787	0.8756	_	0.8671	0.878	0.7739	0.8725
49	03:58:57	0	0.1000	1.217572841568617		_	_	_	_	0.9917451739311218	0.8833	0.8722	0.7821	0.8777	_	0.8806	0.8698	0.778	0.8752
50	05:04:43	1	0.1000	1.209420331714374		_	_	_	_	1.0073513984680176	0.8829	0.8712	0.781	0.877	_	0.8799	0.8685	0.7764	0.8742
51	06:10:45	0	0.1000	1.217420814449335		_	_	_	_	1.005134105682373	0.8809	0.8777	0.7845	0.8793	_	0.8778	0.8759	0.7806	0.8768
52	07:16:35	1	0.1000	1.2018300659843135		_	_	_	_	1.002115249633789	0.8835	0.8714	0.7816	0.8774	_	0.8782	0.8689	0.7755	0.8735
53	08:22:49	0	0.1000	1.2073896644251738		_	_	_	_	1.0046693086624146	0.8755	0.8788	0.7812	0.8771	_	0.8716	0.8761	0.7759	0.8738
54	09:29:19	1	0.1000	1.1884844077537398		_	_	_	_	1.0165956020355225	0.8827	0.8745	0.7835	0.8786	_	0.878	0.872	0.7777	0.875
55	10:36:42	0	0.1000	1.1911363730660907		_	_	_	_	0.9927208423614502	0.8755	0.8777	0.7803	0.8766	_	0.8715	0.8748	0.7748	0.8731
56	11:44:03	1	0.1000	1.1897509269344888		_	_	_	_	1.0072380304336548	0.8776	0.8764	0.7809	0.877	_	0.8739	0.8737	0.7759	0.8738
57	12:52:51	2	0.1000	1.1938816437817525		_	_	_	_	1.0028656721115112	0.8825	0.8738	0.7827	0.8781	_	0.8788	0.8707	0.7774	0.8747
58	14:02:21	3	0.1000	1.1922230109261027		_	_	_	_	1.0111643075942993	0.8783	0.8781	0.7828	0.8782	_	0.8753	0.8773	0.7798	0.8763
